"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"423032_ida","-23.68771","-46.58367","494","11787"
"423032_ida","-23.68746","-46.58374","495","11815"
"423032_ida","-23.68725","-46.58377","496","11838"
"423032_ida","-23.68698","-46.58374","497","11868"
"423032_ida","-23.68674","-46.58366","498","11895"
"423032_ida","-23.68656","-46.58357","499","11917"
"423032_ida","-23.68639","-46.58345","500","11939"
"423032_ida","-23.68613","-46.5832","501","11978"
"423032_ida","-23.68593","-46.58307","502","12005"
"423032_ida","-23.68565","-46.583","503","12037"
"423032_ida","-23.68525","-46.58298","504","12081"
"423032_ida","-23.68484","-46.58298","505","12127"
"423032_ida","-23.68402","-46.58297","506","12217"
"423032_ida","-23.68281","-46.58304","507","12352"
"423032_ida","-23.68158","-46.5831","508","12488"
"423032_ida","-23.67892","-46.58326","509","12783"
"423032_ida","-23.67783","-46.58332","510","12904"
"423032_ida","-23.67748","-46.58331","511","12943"
"423032_ida","-23.67636","-46.58326","512","13067"
"423032_ida","-23.67549","-46.58321","513","13163"
"423032_ida","-23.67508","-46.58318","514","13209"
"423032_ida","-23.67473","-46.58316","515","13247"
"423032_ida","-23.67445","-46.58315","516","13276"
"423032_ida","-23.67447","-46.58253","517","13340"
"423032_ida","-23.67451","-46.58179","518","13417"
"423032_ida","-23.6743","-46.58177","519","13441"
"423032_ida","-23.67389","-46.58173","520","13487"
"423032_ida","-23.67348","-46.58172","521","13532"
"423032_ida","-23.67319","-46.58168","522","13564"
"423032_ida","-23.67305","-46.58163","523","13580"
"423032_ida","-23.67274","-46.58149","524","13617"
"423032_ida","-23.67257","-46.5814","525","13638"
"423032_ida","-23.67246","-46.58135","526","13651"
"423032_ida","-23.67205","-46.58112","527","13702"
"423032_ida","-23.67109","-46.58063","528","13820"
"423032_ida","-23.66971","-46.57991","529","13989"
"423032_ida","-23.66888","-46.57948","530","14091"
"423032_ida","-23.66869","-46.5794","531","14114"
"423032_ida","-23.66851","-46.57931","532","14134"
"423032_ida","-23.66844","-46.57918","533","14149"
"423032_ida","-23.6684","-46.57902","534","14166"
"423032_ida","-23.66832","-46.5788","535","14191"
"423032_ida","-23.66826","-46.57873","536","14200"
"423032_ida","-23.6682","-46.57853","537","14222"
"423032_ida","-23.66815","-46.57841","538","14235"
"423032_ida","-23.66798","-46.5781","539","14272"
"423032_ida","-23.66785","-46.57778","540","14307"
"423032_ida","-23.66779","-46.57754","541","14332"
"423032_ida","-23.66777","-46.57737","542","14350"
"423032_ida","-23.66777","-46.57718","543","14369"
"423032_ida","-23.66779","-46.57698","544","14389"
"423032_ida","-23.66781","-46.57675","545","14413"
"423032_ida","-23.66784","-46.57649","546","14440"
"423032_ida","-23.66785","-46.57635","547","14454"
"423032_ida","-23.66784","-46.57609","548","14483"
"423032_ida","-23.66773","-46.57605","549","14495"
"423032_ida","-23.66767","-46.57602","550","14503"
"423032_ida","-23.66747","-46.57589","551","14528"
"423032_ida","-23.66729","-46.57574","552","14553"
